epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,971.511,1.44122,0.81551,0.92309,0.576,0.32123,0.33134,0.17608,1.39579,0.75885,0.90726,0.00999771,0.00333257,0.00999771,0.00333257,0.00999771,0.00333257,0.00999771,0.00333257
2,1754.07,1.44657,0.82263,0.92316,0.54634,0.31486,0.32017,0.17094,1.40249,0.76649,0.91137,0.0190078,0.00633594,0.0190078,0.00633594,0.0190078,0.00633594,0.0190078,0.00633594
3,2459.47,1.47621,0.85243,0.93103,0.57732,0.29879,0.31002,0.16335,1.41832,0.78071,0.91575,0.0270279,0.00900931,0.0270279,0.00900931,0.0270279,0.00900931,0.0270279,0.00900931
4,3127.94,1.5027,0.8769,0.93848,0.56154,0.30035,0.30771,0.16375,1.41412,0.77946,0.91513,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,3803.44,1.49725,0.87127,0.9368,0.56799,0.3058,0.31422,0.16677,1.40848,0.7694,0.91443,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,4489.63,1.49606,0.87026,0.93704,0.57858,0.31056,0.32094,0.17021,1.39784,0.76131,0.91202,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,5163.24,1.48994,0.86401,0.93571,0.56931,0.31206,0.32341,0.1726,1.39212,0.75468,0.91054,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,5830.41,1.48235,0.85904,0.93417,0.57826,0.31795,0.32643,0.17435,1.38532,0.7497,0.90825,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,6486.26,1.47603,0.8522,0.93159,0.57832,0.32125,0.33169,0.17762,1.38252,0.74493,0.9075,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,7146.88,1.47086,0.84691,0.9306,0.59399,0.31714,0.33392,0.17918,1.37906,0.74183,0.90661,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,7843.48,1.47876,0.83069,0.92813,0.58615,0.32348,0.33463,0.17937,1.37947,0.74185,0.90664,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,8526.42,1.4718,0.82468,0.92686,0.59098,0.32218,0.33392,0.17949,1.37923,0.74099,0.90608,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,9179.89,1.46241,0.81521,0.92362,0.59416,0.32282,0.33596,0.18038,1.37862,0.7399,0.90561,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,9839.82,1.45581,0.80864,0.92204,0.58874,0.32459,0.33757,0.18143,1.37767,0.7386,0.9053,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,10511.9,1.44881,0.80153,0.91998,0.58653,0.32643,0.33836,0.18197,1.37644,0.73704,0.90488,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,11193.4,1.44169,0.79289,0.91785,0.5853,0.32772,0.33877,0.18277,1.37513,0.73576,0.90445,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,11845.6,1.43315,0.78548,0.9157,0.58568,0.3285,0.33958,0.18337,1.37406,0.73449,0.90411,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,12487.5,1.42398,0.77665,0.91275,0.58834,0.32943,0.341,0.18397,1.37297,0.73358,0.90359,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,13107.1,1.41621,0.7688,0.91111,0.59224,0.33054,0.34194,0.1846,1.37193,0.73256,0.90315,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,13722.1,1.40719,0.76016,0.90822,0.59554,0.33075,0.34281,0.18519,1.37105,0.73162,0.90275,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
